County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor,Less_than_9th_grade,With_disability,Civilian_veterans,Limited_English,Total_housing_units,With_mortgage,Without_mortgage,Unemployment_rate,Median_household_income,Below_poverty_level,No_health_insurance
Westchester,2020,9670,3137,475,878,151,1633,6533,852,1067,1877,2737,670717,956450,755743,66.3,376315,63.6,36.4,5.7,99489,8,5.5
Wyoming,2020,683,225,28,42,37,118,458,78,187,78,115,29401,37690,32406,96.5,18297,55.5,44.5,4.7,58746,8.2,4.1
Yates,2020,216,64,7,15,13,29,152,18,34,30,70,16635,24661,19331,86.3,13919,50.5,49.5,3.8,55307,10.6,16.7
Albany,2021,4932,2069,267,537,85,1180,2863,250,491,981,1141,211245,310934,256417,86.3,145388,62.7,37.3,4.9,73810,11,3
Allegany,2021,719,238,27,62,19,130,481,52,88,119,222,30019,46170,37119,95.3,23797,43.3,56.7,6.7,54375,13.6,6.1
Bronx,2021,29390,12816,1592,5890,76,5258,16574,1294,398,3429,11453,959432,1447001,1101619,41.8,543402,57.9,42.1,11.2,43726,23.5,7.8
Broome,2021,4196,1508,192,400,44,872,2688,436,275,1060,917,131719,195882,159769,90.3,92257,53.5,46.5,7.5,53982,17.3,3.9
Cattaraugus,2021,1746,529,81,120,46,282,1217,158,248,328,483,53033,76414,59948,95.7,40309,46.5,53.5,6,53537,15.1,6.3
Cayuga,2021,1174,410,50,95,24,241,764,52,124,253,335,55644,72904,61488,96.1,36652,55.3,44.7,4.5,59602,12.1,4.2
Chautauqua,2021,3598,1125,128,233,58,706,2473,405,420,648,1000,89632,125889,101789,91.9,66370,51.1,48.9,5.4,50408,15.5,5.2
Chemung,2021,1955,580,77,167,43,293,1375,311,135,457,472,59612,81281,66283,95.9,38891,52.5,47.5,6.1,58175,13.1,4.3
Chenango,2021,762,244,45,51,9,139,518,118,70,129,201,34016,46831,37481,96.8,24317,46.8,53.2,7,55690,11.2,3.3
Clinton,2021,1200,369,59,81,46,183,831,57,196,294,284,55169,75486,65500,94.2,37191,54.5,45.5,4.3,62470,11.7,3.2
Columbia,2021,855,277,61,64,24,128,578,95,207,95,181,47055,59960,51043,92.4,33222,54.5,45.5,5.9,73065,8.9,4.2
Cortland,2021,908,280,27,48,29,176,628,92,120,186,230,29478,46499,37905,95.4,20798,54.3,45.7,5.9,62163,12.5,3.5
Delaware,2021,711,254,25,53,27,149,457,66,114,106,171,33007,44223,37225,94,30119,43.6,56.4,4.7,52757,13.4,4.9
Dutchess,2021,3305,1038,158,217,119,544,2267,196,673,672,726,208945,287557,240029,84.8,121674,63.3,36.7,5.2,87112,8.3,4.4
Erie,2021,11946,4611,625,1425,230,2331,7335,1036,1298,2376,2625,670059,940342,755407,89.2,436986,59.5,40.5,5.1,62578,12.2,2.9
Essex,2021,518,166,24,27,18,97,352,38,104,77,133,28937,35217,31455,93.7,25213,51.2,48.8,5.4,61563,9,4.2
Franklin,2021,964,304,70,52,16,166,660,129,89,208,234,34305,43856,38703,92.8,25330,49.6,50.4,6.6,55279,16.1,6.7
Fulton,2021,858,307,17,67,22,201,551,82,127,116,226,38825,52809,42654,97.4,28190,52.4,47.6,5.1,55240,13.3,4.1
Genesee,2021,1056,378,34,98,37,209,678,81,153,180,264,41830,57872,46377,96.5,25954,58.4,41.6,4.9,63734,10.2,3.2
Greene,2021,1281,428,128,56,46,198,853,218,289,146,200,36124,45054,40094,92.5,28997,52.2,47.8,3.7,62810,9.7,4
Hamilton,2021,42,14,0,4,3,7,28,2,14,4,8,3985,5051,4355,98.5,7965,48.1,51.9,2.7,62841,10.3,4.7
Herkimer,2021,865,252,10,58,29,155,613,70,128,201,214,43007,60008,47980,94.4,32485,49.5,50.5,5.4,60561,11.3,4.7
Jefferson,2021,1804,563,92,99,47,325,1241,100,264,432,445,74808,103851,77873,91.6,61339,57.8,42.2,6,58271,11.6,4.9
Kings,2021,34593,17671,1393,7259,160,8859,16922,1242,605,4585,10490,1876692,2697648,2089455,55.7,1067820,60.3,39.7,7.1,67753,16.7,6.6
Lewis,2021,277,93,12,23,9,49,184,27,66,34,57,18551,26402,20370,97.3,15474,49.8,50.2,5,60049,9.9,4.9
Livingston,2021,920,344,63,44,34,203,576,95,181,82,218,42037,60007,51133,92.7,27102,59.2,40.8,4.8,64467,10.9,3.1
Madison,2021,1071,328,25,62,19,222,743,98,117,267,261,46541,67912,55278,95.8,30726,57.8,42.2,4.2,63312,8.6,3.8
Monroe,2021,8893,3189,302,1041,271,1575,5704,211,1013,2320,2160,525462,750135,599099,86.6,334821,64.4,35.6,5.3,66317,11.9,3.2
Montgomery,2021,1069,343,49,69,25,200,726,100,134,213,279,34244,48794,38019,87.5,22905,51.3,48.7,6.4,53533,13.9,6.1
Nassau,2021,12234,4885,696,1167,179,2843,7349,1465,1130,1590,3164,970356,1382274,1089143,71.2,475728,63.3,36.7,4.5,126576,5.3,4.1
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,14081080,19878007,15872052,69.5,8449178,59.6,40.4,6.2,75157,12.1,5.3
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,14081080,19878007,15872052,69.5,8449178,59.6,40.4,6.6,93956,14.8,4.7
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,14081080,19878007,15872052,69.5,907018,48.6,51.4,6.2,75157,12.1,5.3
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,14081080,19878007,15872052,69.5,907018,48.6,51.4,6.6,93956,14.8,4.7
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,1280680,1658828,1426919,61.7,8449178,59.6,40.4,6.2,75157,12.1,5.3
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,1280680,1658828,1426919,61.7,8449178,59.6,40.4,6.6,93956,14.8,4.7
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,1280680,1658828,1426919,61.7,907018,48.6,51.4,6.2,75157,12.1,5.3
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311,1280680,1658828,1426919,61.7,907018,48.6,51.4,6.6,93956,14.8,4.7
Niagara,2021,3717,1212,102,331,88,691,2505,229,598,666,1012,152677,210778,169674,95.4,100117,55.9,44.1,5.8,60834,11.3,2.7
Oneida,2021,4204,1068,89,282,43,654,3136,206,366,1417,1147,160555,224752,181872,86.9,104847,53.9,46.1,4.7,61733,12.6,3.9
Onondaga,2021,8538,3194,243,967,139,1845,5344,514,811,2029,1990,325273,469638,372536,89.4,210851,62.4,37.6,5.9,66012,11.7,3.4
Ontario,2021,1397,514,50,84,69,311,883,71,222,247,343,79559,111124,89508,93.6,52193,59.6,40.4,4,70694,8.1,3.4
Orange,2021,5945,1669,310,311,235,813,4276,566,1244,1287,1179,254625,389172,292063,74.2,145947,67.5,32.5,5.4,85640,9.7,4.7
Orleans,2021,478,177,19,46,15,97,301,20,63,81,137,29710,38049,32761,93.9,18237,58.3,41.7,6.4,54882,12.6,4.7
Oswego,2021,2388,654,73,126,45,410,1734,198,285,643,608,80360,117235,92947,96.2,54449,58.4,41.6,7.1,61983,13.6,4.2
Otsego,2021,769,220,14,57,16,133,549,67,130,122,230,39686,58223,49423,94,30014,50.5,49.5,5.7,60523,11.4,5
Putnam,2021,908,243,66,41,37,99,665,116,267,82,200,70537,97569,78563,79.8,38313,67.9,32.1,4.8,111617,6,4.1
Queens,2021,27347,12893,896,4984,129,6884,14454,764,783,3548,9359,1730502,2378283,1908353,44.8,889744,56.2,43.8,7,75886,10.7,8.9
Rensselaer,2021,2317,868,100,224,37,507,1449,104,225,500,620,113700,159320,129344,92.2,73998,63.2,36.8,5.4,76731,10,3.4
Richmond,2021,6011,2730,288,815,37,1590,3281,422,235,818,1806,344389,489360,384557,66.1,183011,66.3,33.7,5.5,89427,9.4,4.1
Rockland,2021,2379,860,73,275,45,467,1519,124,326,357,712,209115,334564,239336,57.4,107709,63.7,36.3,6,99707,10.3,4.3
St. Lawrence,2021,1771,553,133,104,35,281,1218,293,256,311,358,71971,105259,86713,92.9,51757,50.4,49.6,6.3,54351,14.6,5.6
Saratoga,2021,3007,921,119,174,77,551,2086,258,503,591,734,169377,232899,187188,93.3,109066,64.6,35.4,3.6,90800,6.2,2.7
Schenectady,2021,2944,1023,120,211,45,647,1921,121,202,750,848,109234,155734,123008,91,70628,63,37,6.9,69891,10.7,3.9
Schoharie,2021,370,100,17,21,15,47,270,28,60,88,94,21494,29867,24588,94.5,16540,52.5,47.5,5.8,64220,11.6,4
Schuyler,2021,272,105,13,10,11,71,167,28,43,45,51,13296,17793,14434,96.8,9630,46.9,53.1,5.7,56437,13.6,4.6
Seneca,2021,593,219,15,27,25,152,374,32,87,127,128,24507,31302,27088,92.6,16132,56.9,43.1,3.7,59086,12.1,8.9
Steuben,2021,1928,697,188,136,44,329,1231,262,248,322,399,66770,93084,73697,94.3,47551,50.3,49.7,6.3,58652,11.5,5.5
Suffolk,2021,11928,3571,569,813,333,1856,8357,1308,1923,1881,3245,1064835,1512080,1199918,77.6,578345,63.8,36.2,4.8,111660,6.2,4.2
Sullivan,2021,1568,528,92,116,59,261,1040,241,254,286,259,55324,74579,61508,83.1,49231,49,51,8,63393,11.6,5.4
Tioga,2021,495,168,27,44,11,86,327,65,44,73,145,34740,48187,38426,97.5,21897,50.6,49.4,5.9,64987,9,3.1
Tompkins,2021,889,238,15,70,14,139,651,44,84,282,241,62148,104794,90405,84,46046,58.2,41.8,4.7,64260,17.8,3.6
Ulster,2021,3121,978,185,149,116,528,2143,319,667,449,708,133449,177553,149670,89.4,85639,56.9,43.1,5.1,71040,12.6,5.4
Warren,2021,1459,423,61,51,36,275,1036,150,158,377,351,49287,64970,53606,96,39902,59.9,40.1,4.2,68765,8,4
Washington,2021,843,249,24,39,18,168,594,103,115,110,266,45104,58359,49835,94.9,29029,56.9,43.1,5.7,63869,10.9,5.2
Wayne,2021,1146,375,13,85,44,233,771,67,144,246,314,65000,90549,71627,94.7,42153,60.9,39.1,4.1,64152,10.2,5.2
Westchester,2021,9356,2997,312,850,225,1610,6359,623,1458,1524,2754,693253,987382,779843,66.1,386583,62.8,37.2,6.1,105387,7.8,5.1
Wyoming,2021,612,224,27,60,36,101,388,52,147,61,128,29604,37991,32494,96.7,18075,55.1,44.9,4.1,60013,8.8,3.8
Yates,2021,258,93,15,6,12,60,165,10,49,30,76,16550,24467,19138,85.2,13104,52,48,3.2,57635,10.5,17.3
Albany,2022,5304,2237,264,616,101,1256,3067,236,561,1046,1224,211845,311626,257724,86.1,146137,61.6,38.4,5.2,78829,11.8,3
Allegany,2022,680,232,11,69,12,140,448,31,103,123,191,29967,46759,37946,95.3,23636,42.3,57.7,7.3,58725,15,5.3
Bronx,2022,37183,15611,1407,7310,73,6821,21572,1579,448,5810,13735,943981,1425336,1086468,42,547816,56.7,43.3,11.2,47036,24.3,7.6
Broome,2022,4497,1507,152,389,45,921,2990,386,313,1294,997,131196,195765,160441,90.1,92596,53.4,46.6,6.9,58317,17.6,3.8
Cattaraugus,2022,1606,523,52,108,39,324,1083,111,173,415,384,53128,76281,60069,95.3,40254,45.6,54.4,5.4,56889,15.5,6.6
Cayuga,2022,1249,395,39,62,32,262,854,42,143,310,359,55374,73224,61321,96,36701,54.4,45.6,4.3,63227,12.4,4.1
Chautauqua,2022,3637,1244,238,252,62,692,2393,337,335,787,934,89404,125655,101588,91.5,66350,51,49,5.4,54625,15.6,5.5
Chemung,2022,2111,656,97,165,31,363,1455,295,181,509,470,58945,81195,65927,95.3,39035,52,48,6.3,61358,13.9,4.3
Chenango,2022,786,260,27,58,15,160,526,94,56,178,198,33959,46571,37404,95.8,24384,47.3,52.7,7.1,61741,11.2,3.6
Clinton,2022,1344,378,50,77,42,209,966,91,172,381,322,55243,76204,65369,94.1,37309,53.8,46.2,4.7,67097,12.3,3.3
Columbia,2022,896,256,39,49,39,129,640,71,227,155,187,47307,60224,51356,91.9,33292,54.6,45.4,5.9,81741,9.6,3.9
Cortland,2022,1037,334,35,62,31,206,703,79,116,245,263,29274,46317,37876,94.8,20803,53.7,46.3,5.4,65029,13.2,3.7
Delaware,2022,573,190,9,53,17,111,383,36,81,99,167,33158,44260,37399,93.8,30092,44.4,55.6,6.1,58338,13.6,4.5
Dutchess,2022,3280,1005,137,218,111,539,2275,133,653,691,798,210886,289578,241151,85.2,122129,62.3,37.7,5,94578,8.5,4.3
Erie,2022,13470,5048,586,1496,224,2742,8422,913,1297,3035,3177,671368,943208,759330,89,438630,58.6,41.4,5,68014,12.4,2.9
Essex,2022,604,199,29,40,13,117,405,56,117,89,143,28930,35545,31398,93.6,25262,50.3,49.7,5.1,68090,10,4.1
Franklin,2022,1108,385,87,71,10,217,723,101,83,263,276,33832,44416,37802,93.1,25352,48.5,51.5,5.1,60270,15.2,6
Fulton,2022,792,288,27,75,14,172,504,80,104,113,207,38665,52559,42600,97.1,28164,52.8,47.2,4.3,60557,13.3,3.6
Genesee,2022,1222,444,37,86,43,278,778,72,162,262,282,41797,57666,46370,96.6,26039,58.4,41.6,4.7,68178,10.7,3.1
Greene,2022,1233,381,83,73,34,191,852,145,269,152,286,36429,45728,40255,92.4,29007,52,48,2.8,70294,10.3,3.5
Hamilton,2022,34,8,1,2,0,5,26,1,11,2,12,4107,5080,4422,98,7920,47.1,52.9,4.9,66891,10.7,4.7
Herkimer,2022,926,253,10,55,16,172,673,55,136,280,202,43013,59775,47941,94.8,32445,50,50,4.2,68104,10.9,4.7
Jefferson,2022,1693,555,62,106,19,368,1138,79,203,452,404,74585,104283,78300,91.1,61573,57.3,42.7,6.4,62782,11.7,5.4
Kings,2022,41512,20441,1427,8111,133,10770,21071,1425,648,6603,12395,1860601,2665912,2074273,55.8,1079551,59.8,40.2,7.3,74692,17,6.3
Lewis,2022,302,116,30,17,12,57,186,9,61,43,73,18480,26434,20484,97.4,15501,49.5,50.5,5.2,64401,11.4,4.3
Livingston,2022,935,327,51,36,32,208,608,108,153,126,221,41890,60384,50913,93.7,27150,57.9,42.1,4.7,70443,10.8,3.4
Madison,2022,1182,400,29,72,23,276,782,79,120,308,275,46161,67526,55152,95.7,30671,56.9,43.1,4.1,68869,8.8,3.3
Monroe,2022,9525,3657,304,1245,265,1843,5868,181,1003,2515,2169,525640,749922,601235,86.8,336324,63.1,36.9,5.3,71450,12,3.2
Montgomery,2022,1162,339,40,71,27,201,823,129,114,262,318,34309,48957,38227,87.8,22924,51.2,48.8,5.9,58033,13.2,5.6
Nassau,2022,13476,5174,876,1329,146,2823,8302,1557,1224,2178,3343,969981,1380687,1090909,70.6,476982,63.1,36.9,4.6,137709,5.2,4
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,14021808,19789790,15840317,69.4,8494452,58.9,41.1,6.2,81386,12.4,5.2
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,14021808,19789790,15840317,69.4,8494452,58.9,41.1,6.8,99880,15.1,4.6
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,14021808,19789790,15840317,69.4,913058,48.9,51.1,6.2,81386,12.4,5.2
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,14021808,19789790,15840317,69.4,913058,48.9,51.1,6.8,99880,15.1,4.6
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,1267630,1637167,1409866,61.9,8494452,58.9,41.1,6.2,81386,12.4,5.2
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,1267630,1637167,1409866,61.9,8494452,58.9,41.1,6.8,99880,15.1,4.6
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,1267630,1637167,1409866,61.9,913058,48.9,51.1,6.2,81386,12.4,5.2
New York,2022,37926,16366,1613,5736,57,8960,21560,2858,374,8063,10265,1267630,1637167,1409866,61.9,913058,48.9,51.1,6.8,99880,15.1,4.6
Niagara,2022,3649,1330,168,337,76,749,2319,252,414,664,989,152567,210420,169858,94.8,100182,54.9,45.1,5.8,65882,11.6,2.3
Oneida,2022,4511,1102,79,272,31,720,3409,213,305,1600,1291,159897,224645,181304,86.6,105054,52.7,47.3,4.4,66402,12.8,3.4
Onondaga,2022,8506,3344,231,961,108,2044,5162,424,689,2105,1944,324436,468161,372768,89.2,211312,61.8,38.2,5.6,71479,11.9,3.5
Ontario,2022,1497,587,45,121,57,364,910,48,208,313,341,80008,111411,90313,93.7,52636,58.7,41.3,4,76603,8.5,3.3
Orange,2022,6026,1888,246,406,247,989,4138,445,1301,1129,1263,256375,393572,295830,73,147158,67,33,5.3,91806,10.8,4.9
Orleans,2022,553,196,12,51,9,124,357,11,75,113,158,29333,38241,32437,93.5,18244,57.2,42.8,6.1,61069,11.6,5.4
Oswego,2022,2528,750,75,168,46,461,1778,119,231,783,645,80294,117308,93461,96.2,54570,56.5,43.5,7.3,65054,14.1,4.2
Otsego,2022,836,255,21,69,10,155,581,57,104,180,240,39352,59041,50399,93.6,29965,50.9,49.1,5,65778,12.4,5.1
Putnam,2022,897,228,31,48,33,116,669,66,335,78,190,70716,97552,78870,79.2,38323,66.3,33.7,4.4,120970,6.5,3.5
Queens,2022,31382,15070,1057,5709,132,8172,16312,769,746,4288,10509,1709759,2347232,1890192,44.6,896825,55.4,44.6,7,82431,11,8.7
Rensselaer,2022,2397,903,80,235,32,556,1494,76,243,554,621,113385,159298,130043,92.4,74186,62.3,37.7,5.6,83734,10.2,3.1
Richmond,2022,6614,2918,280,965,33,1640,3696,451,198,994,2053,344639,489423,385802,65.2,183524,65.4,34.6,5.4,96185,9.5,3.9
Rockland,2022,2551,882,63,275,68,476,1669,110,488,393,678,208539,335633,240023,57,108165,62.8,37.2,6.2,106173,10.7,4.1
St. Lawrence,2022,1777,576,114,101,29,332,1201,178,239,385,399,71483,105895,86953,92.8,51780,48.8,51.2,6.3,58339,15.3,6
Saratoga,2022,3359,1104,172,187,105,640,2255,219,545,685,806,170815,234394,189551,93.2,110095,63.9,36.1,3.5,97038,6.4,2.8
Schenectady,2022,2946,1066,60,272,43,691,1880,70,184,751,875,109680,157890,125190,91.3,70843,63,37,6,75056,10.6,3.9
Schoharie,2022,348,104,11,14,13,66,244,21,41,72,110,21509,29887,24735,94.1,16517,51.2,48.8,5.3,71479,10,4.2
Schuyler,2022,339,132,16,18,6,92,207,34,54,65,54,13283,17751,14440,96.8,9671,46.9,53.1,5.7,61316,13.8,4.4
Seneca,2022,612,227,23,37,18,149,385,25,81,131,148,24400,31776,26908,92.7,16116,56.7,43.3,4.5,64050,12.5,8.6
Steuben,2022,1883,733,109,144,44,436,1150,142,189,356,463,66493,92649,73529,94.5,47507,49.9,50.1,6.3,62506,12.2,5
Suffolk,2022,13072,3523,645,837,325,1716,9549,1270,2065,2552,3662,1067104,1514839,1206949,76.9,578977,63.2,36.8,4.8,122498,6.2,4.4
Sullivan,2022,1528,578,68,122,50,338,950,140,273,286,251,55556,76047,62192,80.5,49390,48.8,51.2,7.2,67841,12.7,5.6
Tioga,2022,565,179,14,45,13,107,386,79,58,82,167,34747,47997,38500,97.4,21909,49.9,50.1,5.6,70427,9.8,3.4
Tompkins,2022,1211,449,16,118,17,298,762,50,125,300,287,61156,101829,87629,84,46728,55.5,44.5,4.7,69995,16.9,3.3
Ulster,2022,3234,1090,166,202,142,580,2144,227,825,386,706,134090,178527,150574,88.5,85916,56.7,43.3,5.1,77197,14.5,6.2
Warren,2022,1635,484,71,58,38,317,1151,160,162,416,413,49282,64986,53879,96.3,40039,59.3,40.7,4.2,74531,8.7,3.8
Washington,2022,850,319,24,63,21,211,531,44,79,121,287,45270,58747,49951,94.6,29063,56.6,43.4,5.1,68703,10.8,5.5
Wayne,2022,1160,360,9,62,40,249,800,27,137,358,278,65234,90646,71956,94.7,42274,61,39,4.3,71007,10.2,5.8
Westchester,2022,10444,3621,323,1007,225,2066,6823,473,1515,1783,3052,695064,987426,782986,65.8,389146,62.3,37.7,6,114651,8.2,4.9
Wyoming,2022,628,257,31,59,34,133,371,46,113,59,153,29511,37905,32327,96.9,18137,51.8,48.2,4.1,65066,9.9,4.3
Yates,2022,229,87,6,13,9,59,142,8,25,27,82,16746,24418,19252,83.2,13113,50.9,49.1,3.2,63974,11.6,17.6
