County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Orange,2018,8729,2480,705,455,220,1100,6249,1488,1215,1810,1736
Orleans,2018,785,254,42,42,19,151,531,40,102,165,224
Oswego,2018,2774,725,79,117,65,464,2049,282,324,831,612
Otsego,2018,1052,297,70,57,26,144,755,96,159,228,272
Putnam,2018,1266,301,93,58,35,115,965,245,382,97,241
Queens,2018,39106,15402,1892,4853,245,8412,23704,2971,1474,7348,11911
Rensselaer,2018,3155,1115,177,231,76,631,2040,275,368,705,692
Richmond,2018,8357,3069,521,788,69,1691,5288,1185,618,1405,2080
Rockland,2018,3321,981,106,243,76,556,2340,372,550,639,779
St. Lawrence,2018,2111,642,144,129,39,330,1469,259,261,430,519
Saratoga,2018,3913,1040,179,163,128,570,2873,487,748,749,889
Schenectady,2018,3793,1282,231,236,53,762,2511,263,249,902,1097
Schoharie,2018,395,99,5,16,15,63,296,27,63,88,118
Schuyler,2018,309,97,21,15,22,39,212,30,75,46,61
Seneca,2018,666,220,40,28,39,113,446,44,88,133,181
Steuben,2018,1996,733,218,117,66,332,1263,228,287,314,434
Suffolk,2018,20003,4822,893,851,406,2672,15181,4403,2516,3938,4324
Sullivan,2018,1929,599,93,113,39,354,1330,386,252,355,337
Tioga,2018,684,207,47,31,25,104,477,110,97,88,182
Tompkins,2018,1198,308,48,72,30,158,890,129,157,352,252
Ulster,2018,3965,1102,219,148,129,606,2863,641,648,674,900
Warren,2018,1754,454,81,65,40,268,1300,224,291,405,380
Washington,2018,1242,389,49,53,47,240,853,196,205,150,302
Wayne,2018,1479,399,44,46,62,247,1080,112,189,392,387
Westchester,2018,12759,3838,724,878,210,2026,8921,2093,1543,1915,3370
Wyoming,2018,791,285,50,53,41,141,506,69,209,71,157
Yates,2018,313,101,16,11,17,57,212,28,55,38,91
Albany,2019,6232,2288,418,462,101,1307,3944,674,588,1476,1206
Allegany,2019,752,210,33,45,15,117,542,60,159,106,217
Bronx,2019,40456,14959,2798,5790,117,6254,25497,4105,756,6191,14445
Broome,2019,4807,1425,293,311,60,761,3382,659,361,1290,1072
Cattaraugus,2019,1523,453,129,65,55,204,1070,163,282,237,388
Cayuga,2019,1241,411,66,60,25,260,830,62,135,294,339
Chautauqua,2019,3603,1081,207,209,60,605,2522,463,421,692,946
Chemung,2019,2039,525,103,102,55,265,1514,358,207,502,447
Chenango,2019,787,250,38,49,17,146,537,83,81,132,241
Clinton,2019,1708,460,111,77,57,215,1248,116,274,465,393
Columbia,2019,1263,340,85,63,34,158,923,329,206,140,248
Cortland,2019,1071,299,33,67,33,166,772,125,179,202,266
Delaware,2019,756,197,43,41,26,87,559,85,126,131,217
Dutchess,2019,4267,1200,215,211,154,620,3067,596,900,697,874
Erie,2019,19181,6358,1283,1604,330,3141,12823,2799,1811,3844,4369
Essex,2019,646,159,21,19,25,94,487,67,164,88,168
Franklin,2019,926,321,96,32,23,170,605,109,130,155,211
Fulton,2019,1015,291,61,44,29,157,724,132,154,208,230
Genesee,2019,1214,380,43,80,41,216,834,97,196,220,321
Greene,2019,1214,342,81,45,49,167,872,208,317,129,218
Hamilton,2019,52,9,0,1,2,6,43,1,18,7,17
Herkimer,2019,959,274,17,55,41,161,685,77,188,170,250
Jefferson,2019,1868,527,84,95,43,305,1341,115,290,471,465
Kings,2019,46517,22136,2920,7195,196,11825,24381,2925,1118,7694,12644
Lewis,2019,359,124,35,16,16,57,235,27,84,47,77
Livingston,2019,1025,393,88,51,51,203,632,114,165,112,241
Madison,2019,1097,305,35,59,35,176,792,99,149,248,296
Monroe,2019,12605,4232,575,968,410,2279,8373,531,1603,3332,2907
Montgomery,2019,1121,375,75,59,26,215,746,123,133,208,282
Nassau,2019,15369,4611,811,1031,269,2500,10758,4074,1764,2236,2684
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849
Niagara,2019,4562,1435,191,360,82,802,3127,438,519,1015,1155
Oneida,2019,4544,1096,154,217,78,647,3448,444,381,1400,1223
Onondaga,2019,9574,3217,415,785,171,1846,6357,835,1064,2306,2152
Ontario,2019,2079,731,150,117,76,388,1348,291,301,321,435
Orange,2019,7835,2184,480,385,212,1107,5651,1125,1210,1708,1608
Orleans,2019,748,262,51,39,23,149,486,72,96,132,186
Oswego,2019,2494,619,64,103,42,410,1875,230,279,826,540
Otsego,2019,1024,278,37,58,37,146,746,89,153,232,272
Putnam,2019,1193,255,50,24,54,127,938,212,382,90,254
Queens,2019,35356,14422,1533,4731,228,7930,20934,1581,1270,6684,11399
Rensselaer,2019,3254,1115,192,215,70,638,2139,298,351,760,730
Richmond,2019,7403,3075,424,795,77,1779,4328,574,554,1253,1947
Rockland,2019,3085,930,144,236,77,473,2155,320,482,600,753
St. Lawrence,2019,1819,610,149,92,45,324,1209,192,301,347,369
Saratoga,2019,3276,904,143,128,108,525,2372,410,651,632,679
Schenectady,2019,3406,1199,242,267,57,633,2207,201,277,785,944
Schoharie,2019,321,87,11,14,20,42,234,18,53,43,120
Schuyler,2019,263,78,8,13,11,46,185,27,55,41,62
Seneca,2019,630,239,36,22,32,149,391,41,68,130,152
Steuben,2019,1928,703,221,96,69,317,1225,234,279,319,393
Suffolk,2019,18783,4488,818,820,419,2431,14295,3463,2474,4059,4299
Sullivan,2019,1857,577,91,118,55,313,1280,337,243,337,363
Tioga,2019,605,183,44,42,19,78,422,91,81,72,178
Tompkins,2019,1108,267,30,50,30,157,841,91,144,363,243
Ulster,2019,3428,975,155,159,115,546,2453,397,676,557,823
Warren,2019,1375,357,79,59,48,171,1018,189,234,285,310
Washington,2019,1099,329,50,52,33,194,770,183,146,126,315
Wayne,2019,1242,377,50,77,41,209,865,55,179,293,338
Westchester,2019,12961,4189,712,912,215,2350,8772,1555,1736,2078,3403
Wyoming,2019,710,240,27,35,64,114,470,73,206,72,119
Yates,2019,273,67,6,10,6,45,206,29,58,26,93
Albany,2020,4341,1864,259,468,91,1046,2477,350,424,829,874
Allegany,2020,596,221,20,87,20,94,375,34,97,84,160
Bronx,2020,28006,11728,1611,5550,74,4493,16278,1935,377,3232,10734
Broome,2020,4208,1333,219,362,43,709,2875,504,229,1238,904
Cattaraugus,2020,1429,513,93,88,41,291,916,185,187,218,326
Cayuga,2020,1157,387,29,87,21,250,770,53,104,249,364
Chautauqua,2020,3367,1084,115,247,57,665,2283,315,341,750,877
Chemung,2020,1948,531,89,122,37,283,1417,375,136,504,402
Chenango,2020,806,226,26,48,10,142,580,103,69,157,251
Clinton,2020,1413,407,81,58,37,231,1006,84,177,438,307
Columbia,2020,925,318,93,63,36,126,607,149,172,89,197
Cortland,2020,823,307,17,88,27,175,516,83,88,147,198
Delaware,2020,629,195,34,29,20,112,434,70,107,80,177
Dutchess,2020,3310,966,135,198,96,537,2344,222,642,772,708
Erie,2020,11513,4308,529,1281,212,2286,7205,1162,1086,2290,2667
Essex,2020,523,179,25,28,22,104,344,31,117,67,129
Franklin,2020,899,295,90,47,17,141,604,96,92,184,232
Fulton,2020,694,232,16,45,17,154,462,49,92,145,176
Genesee,2020,835,287,29,61,35,162,548,55,132,129,232
Greene,2020,1061,333,77,43,45,168,728,184,251,134,159
Hamilton,2020,38,9,3,1,2,3,29,2,14,1,12
Herkimer,2020,766,175,7,30,23,115,591,67,139,186,199
Jefferson,2020,1984,606,108,101,39,358,1378,122,196,604,456
Kings,2020,32200,16996,1546,7095,126,8229,15204,1558,605,4310,8731
Lewis,2020,261,84,23,18,6,37,177,29,61,30,57
Livingston,2020,806,262,30,48,35,149,544,39,162,119,224
Madison,2020,1017,279,24,55,21,179,738,95,93,278,272
Monroe,2020,9885,3775,473,1124,306,1872,6110,246,995,2488,2381
Montgomery,2020,998,301,36,64,21,180,697,109,84,242,262
Nassau,2020,10376,4023,494,1096,185,2248,6353,1363,1212,1439,2339
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356
Niagara,2020,3852,1228,104,350,69,705,2624,238,443,957,986
Oneida,2020,3274,736,32,217,50,437,2538,172,304,1145,917
Onondaga,2020,8011,3052,261,960,135,1696,4959,509,789,1886,1775
Ontario,2020,1497,502,51,83,68,300,995,149,159,342,345
Orange,2020,5772,1707,424,315,207,761,4065,670,1036,1250,1109
Orleans,2020,473,172,18,35,18,101,301,19,43,100,139
Oswego,2020,2183,622,57,142,42,381,1561,198,216,625,522
Otsego,2020,714,240,13,67,17,143,474,67,86,117,204
Putnam,2020,989,216,77,32,30,77,773,140,367,74,192
Queens,2020,24862,11659,924,4607,132,5996,13203,981,752,3516,7954
Rensselaer,2020,2322,860,130,221,33,476,1462,140,194,613,515
Richmond,2020,5343,2524,235,769,56,1464,2819,289,224,812,1494
Rockland,2020,2225,805,107,241,53,404,1420,134,365,318,603
St. Lawrence,2020,1595,572,144,91,27,310,1023,181,191,329,322
Saratoga,2020,2923,988,150,167,100,571,1935,359,423,539,614
Schenectady,2020,2715,845,63,214,34,534,1870,116,201,716,837
Schoharie,2020,370,68,9,11,10,38,302,23,41,117,121
Schuyler,2020,197,76,8,12,6,50,121,12,24,46,39
Seneca,2020,545,187,23,18,31,115,358,42,76,100,140
Steuben,2020,1679,624,169,104,56,295,1055,192,183,325,355
Suffolk,2020,12387,3563,634,743,297,1889,8824,1898,1563,2449,2914
Sullivan,2020,1353,465,89,86,43,247,888,246,175,256,211
Tioga,2020,403,133,11,29,7,86,270,38,29,84,119
Tompkins,2020,825,209,21,47,13,128,616,58,84,265,209
Ulster,2020,2888,938,200,149,123,466,1950,342,500,513,595
Warren,2020,1290,383,87,55,24,217,907,228,158,262,259
Washington,2020,956,273,46,37,22,168,683,161,135,108,279
Wayne,2020,1282,455,37,86,56,276,827,60,148,287,332
Westchester,2020,9670,3137,475,878,151,1633,6533,852,1067,1877,2737
Wyoming,2020,683,225,28,42,37,118,458,78,187,78,115
Yates,2020,216,64,7,15,13,29,152,18,34,30,70
Albany,2021,4932,2069,267,537,85,1180,2863,250,491,981,1141
Allegany,2021,719,238,27,62,19,130,481,52,88,119,222
Bronx,2021,29390,12816,1592,5890,76,5258,16574,1294,398,3429,11453
Broome,2021,4196,1508,192,400,44,872,2688,436,275,1060,917
Cattaraugus,2021,1746,529,81,120,46,282,1217,158,248,328,483
Cayuga,2021,1174,410,50,95,24,241,764,52,124,253,335
Chautauqua,2021,3598,1125,128,233,58,706,2473,405,420,648,1000
Chemung,2021,1955,580,77,167,43,293,1375,311,135,457,472
Chenango,2021,762,244,45,51,9,139,518,118,70,129,201
Clinton,2021,1200,369,59,81,46,183,831,57,196,294,284
Columbia,2021,855,277,61,64,24,128,578,95,207,95,181
Cortland,2021,908,280,27,48,29,176,628,92,120,186,230
Delaware,2021,711,254,25,53,27,149,457,66,114,106,171
Dutchess,2021,3305,1038,158,217,119,544,2267,196,673,672,726
Erie,2021,11946,4611,625,1425,230,2331,7335,1036,1298,2376,2625
Essex,2021,518,166,24,27,18,97,352,38,104,77,133
Franklin,2021,964,304,70,52,16,166,660,129,89,208,234
Fulton,2021,858,307,17,67,22,201,551,82,127,116,226
Genesee,2021,1056,378,34,98,37,209,678,81,153,180,264
Greene,2021,1281,428,128,56,46,198,853,218,289,146,200
Hamilton,2021,42,14,0,4,3,7,28,2,14,4,8
Herkimer,2021,865,252,10,58,29,155,613,70,128,201,214
Jefferson,2021,1804,563,92,99,47,325,1241,100,264,432,445
Kings,2021,34593,17671,1393,7259,160,8859,16922,1242,605,4585,10490
Lewis,2021,277,93,12,23,9,49,184,27,66,34,57
Livingston,2021,920,344,63,44,34,203,576,95,181,82,218
Madison,2021,1071,328,25,62,19,222,743,98,117,267,261
Monroe,2021,8893,3189,302,1041,271,1575,5704,211,1013,2320,2160
Montgomery,2021,1069,343,49,69,25,200,726,100,134,213,279
Nassau,2021,12234,4885,696,1167,179,2843,7349,1465,1130,1590,3164
New York,2021,33128,13997,1348,5076,41,7532,19131,2758,314,6748,9311
Niagara,2021,3717,1212,102,331,88,691,2505,229,598,666,1012
Oneida,2021,4204,1068,89,282,43,654,3136,206,366,1417,1147
Onondaga,2021,8538,3194,243,967,139,1845,5344,514,811,2029,1990
Ontario,2021,1397,514,50,84,69,311,883,71,222,247,343
Orange,2021,5945,1669,310,311,235,813,4276,566,1244,1287,1179
Orleans,2021,478,177,19,46,15,97,301,20,63,81,137
Oswego,2021,2388,654,73,126,45,410,1734,198,285,643,608
Otsego,2021,769,220,14,57,16,133,549,67,130,122,230
Putnam,2021,908,243,66,41,37,99,665,116,267,82,200
Queens,2021,27347,12893,896,4984,129,6884,14454,764,783,3548,9359
Rensselaer,2021,2317,868,100,224,37,507,1449,104,225,500,620
Richmond,2021,6011,2730,288,815,37,1590,3281,422,235,818,1806
